player_id,player_name,volforce,16_puc,17_puc,18_puc,19_puc,20_puc
SV-4200-3836,WWS.LEED,19.86,36,11,0,0,0
SV-4213-3427,KANA*JK2,20.33,157,161,25,2,0
SV-4230-8364,F.HAM,20.47,140,205,40,1,0
SV-4239-1328,MINUN,20.27,127,75,18,0,0
SV-4242-9947,ROOKIES*,19.98,12,6,1,0,0
SV-4252-9788,SUNSKY,20.10,166,89,8,0,0
SV-4263-9499,HIV,19.91,43,23,4,0,0
SV-4267-1111,HTTP500,20.59
SV-4269-9580,ELMA*,19.18,0,1,0,0,0
SV-4280-0002,RAY9,19.53,3,0,0,0,0
SV-4283-7179,X0.KAZN.,20.56,206,211,29,0,0
SV-4300-2246,RILA.9MA,20.61,84,89,25,0,0
SV-4302-4989,TUKIYUBI,19.71,12,8,0,0,0
SV-4311-1957,F.HEAVN,20.58,77,191,59,2,0
SV-4318-4491,LOVELYZ.,19.90,10,5,0,0,0
SV-4326-4011,POYO,19.82,1,0,0,0,0
SV-4326-7154,BL-TT,20.14,2,7,1,0,0
SV-4337-2861,DAL.OPI,20.07,25,68,8,0,0
SV-4338-5734,TA-KICHI,20.16,60,148,10,0,0
SV-4338-7736,WAFFLE,19.53,0,0,0,0,0
SV-4344-2091,HLMKS,19.65,3,0,0,0,0
SV-4364-0352,     002,20.05,8,28,0,0,0
SV-4380-3837,ELAIZA,20.12
SV-4382-7581,904*.ZIP,20.07
SV-4399-2648,MASTA,19.67,4,2,0,0,0
SV-4410-8946,MARU*M,20.10,16,25,2,0,0
SV-4413-4972,ART*N468,19.92
SV-4421-1930,MAXI*MLT,19.99,101,35,4,0,0
SV-4438-2303,SIBYARIN,19.85
SV-4447-6978,SSG.CL 7,20.12,83,54,8,0,0
SV-4447-7881,LEYA,19.89,38,9,1,0,0
SV-4454-3205,PAROU2DX,20.10,50,50,5,0,0
SV-4463-0173,NIE,20.04,13,3,2,0,0
SV-4481-2698,RIRASO,19.65
SV-4483-7443,HRHR,20.03,82,53,6,0,0
SV-4504-2270,WF.PXERO,19.92
SV-4514-8117,23NO.STD,21.54,282,401,260,42,1
SV-4539-0282,KINR.BOT,20.60
SV-4541-0022,SOLAMI,20.00,162,49,6,0,0
SV-4546-1416,CHIGOSKY,19.69,31,16,0,0,0
SV-4568-5801,X.O.O*,20.67,81,175,201,4,0
SV-4572-7003,KENT.ZIP,19.81,20,25,1,0,0
SV-4573-0286,PUI,20.30,26,20,4,0,0
SV-4590-5524,BB*QOO,19.83,29,56,5,0,0
SV-4597-0169,CK.GOMO,19.70,17,20,1,0,0
SV-4598-4764,P7*RINE,20.14,20,35,4,0,0
SV-4604-2402,YOMO-MMM,19.89
SV-4635-2019,BANGIN,19.08,11,8,2,0,0
SV-4664-4591,OAROS?,20.01,4,1,2,0,0
SV-4674-4194,HAL.,20.07
SV-4677-7626,ISHII,20.01,41,14,0,0,0
SV-4683-9268,FANXY,20.59,13,26,31,0,0
SV-4691-6366,99.AHCOM,20.15
SV-4694-7418,RIAN,20.29,56,123,25,0,0
SV-4698-5596,HAGYU.H,20.49
SV-4701-8209,BEIL.,20.00,72,62,3,0,0
SV-4708-9301,GING,20.14,19,12,0,0,0
SV-4718-3577,NTM.INC,20.04,20,27,1,0,0
SV-4732-6601,PNT*EEB,20.58,368,390,86,1,0
SV-4741-1567,K.FLAT,20.74,202,386,179,6,0
SV-4746-1778,TEMPU*CS,19.32,6,5,1,0,0
SV-4753-9317,K.KIRU,20.20,26,94,11,0,0
SV-4767-1470,16TH-YU*,19.76,33,22,0,0,0
SV-4774-8568,SKY.SNOW,20.09
