musicname,artistname,diff,difficult,level,puc_count
taboo tears you up 2008,REDALiCE,EXH,2,15,67
Grip & Break down !! - SDVX Edit. -,SOUND HOLIC feat. Nana Takahashi,NOV,0,5,4
Grip & Break down !! - SDVX Edit. -,SOUND HOLIC feat. Nana Takahashi,ADV,1,10,9
Grip & Break down !! - SDVX Edit. -,SOUND HOLIC feat. Nana Takahashi,EXH,2,15,17
Runway Drive,FELT,NOV,0,2,13
Runway Drive,FELT,ADV,1,7,12
Runway Drive,FELT,EXH,2,11,64
月に叢雲華に風,幽閉サテライト feat. senya,NOV,0,5,8
月に叢雲華に風,幽閉サテライト feat. senya,ADV,1,9,10
月に叢雲華に風,幽閉サテライト feat. senya,EXH,2,13,60
月に叢雲華に風,幽閉サテライト feat. senya,INF,4,15,40
幻想のサテライト,豚乙女,NOV,0,5,5
幻想のサテライト,豚乙女,ADV,1,11,3
幻想のサテライト,豚乙女,EXH,2,16,39
幻想のサテライト,豚乙女,HVN,6,18,14
明星ロケット,岸田教団＆THE明星ロケッツ,NOV,0,3,15
明星ロケット,岸田教団＆THE明星ロケッツ,ADV,1,8,9
明星ロケット,岸田教団＆THE明星ロケッツ,EXH,2,13,100
rainbow flyer -gratitude remix-,PHQUASE,NOV,0,5,7
rainbow flyer -gratitude remix-,PHQUASE,ADV,1,9,7
rainbow flyer -gratitude remix-,PHQUASE,EXH,2,16,6
Ray,源屋,NOV,0,4,4
Ray,源屋,ADV,1,8,7
Ray,源屋,EXH,2,12,40
Ray,源屋,HVN,6,16,33
Blue Rain Dustboxxxx RMX,Dustboxxxx,NOV,0,5,6
Blue Rain Dustboxxxx RMX,Dustboxxxx,ADV,1,10,6
Blue Rain Dustboxxxx RMX,Dustboxxxx,EXH,2,14,100
Tomorrow Perfume (C-Show Remix),C-Show,NOV,0,5,4
Tomorrow Perfume (C-Show Remix),C-Show,ADV,1,12,8
Tomorrow Perfume (C-Show Remix),C-Show,EXH,2,16,18
Abyss (sharp stepp remix),borzy,NOV,0,3,10
Abyss (sharp stepp remix),borzy,ADV,1,10,9
Abyss (sharp stepp remix),borzy,EXH,2,13,14
Freeway Shuffle -More2 HAPPY Re-Mix-,Yu_Asahina,NOV,0,5,4
Freeway Shuffle -More2 HAPPY Re-Mix-,Yu_Asahina,ADV,1,10,7
